Column1,Column2,time_period,temperature_change
Colombie-Britannique/British Columbia,-8.87,Column9,-19.85
Manitoba/Manitoba,-2.11,Column9,-4.15
Nouveau-Brunswick/New Brunswick,-1.34,Column9,-6.61
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-4.64,Column9,-11.64
Territoires du Nord-Ouest/Northwest Territories,-1.62,Column9,-2.64
Nouvelle-Écosse/Nova Scotia,-0.10,Column9,-0.46
Nunavut/Nunavut,-0.98,Column9,-2.53
Ontario/Ontario,-2.43,Column9,-5.69
Île-du-Prince-Édouard/Prince Edward Island,-0.38,Column9,-1.54
Québec/Quebec,-3.24,Column9,-8.72
Saskatchewan/Saskatchewan,-1.85,Column9,-3.74
Yukon/Yukon Territory,-4.95,Column9,-10.95
25e centile/25th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-3.41,Column9,-7.59
Alberta/Alberta,-4.51,Column9,-8.10
Colombie-Britannique/British Columbia,-15.16,Column9,-32.81
Manitoba/Manitoba,-3.92,Column9,-6.13
Nouveau-Brunswick/New Brunswick,-4.10,Column9,-10.55
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-8.32,Column9,-17.67
Territoires du Nord-Ouest/Northwest Territories,-3.34,Column9,-5.53
Nouvelle-Écosse/Nova Scotia,-0.59,Column9,-1.40
Nunavut/Nunavut,-4.81,Column9,-11.86
Ontario/Ontario,-4.12,Column9,-8.13
Île-du-Prince-Édouard/Prince Edward Island,-1.44,Column9,-3.34
Québec/Quebec,-6.23,Column9,-12.16
Saskatchewan/Saskatchewan,-3.32,Column9,-5.90
Yukon/Yukon Territory,-9.83,Column9,-17.20
75e centile/75th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,0.04,Column9,-0.70
Alberta/Alberta,-1.21,Column9,-3.35
Colombie-Britannique/British Columbia,-4.63,Column9,-12.19
Manitoba/Manitoba,-0.58,Column9,-2.13
Nouveau-Brunswick/New Brunswick,-0.31,Column9,-2.25
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.04,Column9,-6.44
Territoires du Nord-Ouest/Northwest Territories,0.21,Column9,-0.35
Nouvelle-Écosse/Nova Scotia,0.00,Column9,-0.11
Nunavut/Nunavut,1.73,Column9,2.31
Ontario/Ontario,-0.83,Column9,-2.44
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column9,-0.45
Québec/Quebec,-0.81,Column9,-4.67
Saskatchewan/Saskatchewan,-0.83,Column9,-2.04
Yukon/Yukon Territory,-1.62,Column9,-5.96
50e centile/50th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-0.68,Column9,-2.03
Alberta/Alberta,0.00,Column9,0.00
Colombie-Britannique/British Columbia,-0.33,Column9,-0.83
Manitoba/Manitoba,-0.01,Column9,-0.01
Nouveau-Brunswick/New Brunswick,0.00,Column9,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.06,Column9,-0.11
Territoires du Nord-Ouest/Northwest Territories,-0.13,Column9,-0.54
Nouvelle-Écosse/Nova Scotia,0.00,Column9,0.00
Nunavut/Nunavut,-1.97,Column9,-5.70
Ontario/Ontario,0.00,Column9,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column9,0.00
Québec/Quebec,-0.06,Column9,-0.17
Saskatchewan/Saskatchewan,0.00,Column9,0.00
Yukon/Yukon Territory,-0.52,Column9,-1.69
25e centile/25th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-2.00,Column9,-5.79
Alberta/Alberta,-0.02,Column9,-0.03
Colombie-Britannique/British Columbia,-1.16,Column9,-2.34
Manitoba/Manitoba,-0.03,Column9,-0.04
Nouveau-Brunswick/New Brunswick,0.00,Column9,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.27,Column9,-0.63
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column9,-1.83
Nouvelle-Écosse/Nova Scotia,0.00,Column9,0.00
Nunavut/Nunavut,-5.64,Column9,-16.05
Ontario/Ontario,-0.01,Column9,-0.01
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column9,0.00
Québec/Quebec,-0.24,Column9,-0.61
Saskatchewan/Saskatchewan,0.00,Column9,0.00
Yukon/Yukon Territory,-2.14,Column9,-4.14
75e centile/75th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-0.05,Column9,-0.43
Alberta/Alberta,0.00,Column9,0.00
Colombie-Britannique/British Columbia,-0.01,Column9,-0.03
Manitoba/Manitoba,0.00,Column9,0.00
Nouveau-Brunswick/New Brunswick,0.00,Column9,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,0.00,Column9,-0.02
Territoires du Nord-Ouest/Northwest Territories,0.00,Column9,-0.15
Nouvelle-Écosse/Nova Scotia,0.00,Column9,0.00
Nunavut/Nunavut,-0.05,Column9,-1.07
Ontario/Ontario,0.00,Column9,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column9,0.00
Québec/Quebec,0.00,Column9,-0.04
Saskatchewan/Saskatchewan,0.00,Column9,0.00
Yukon/Yukon Territory,-0.09,Column9,-0.22
50e centile/50th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-0.81,Column9,-2.37
Alberta/Alberta,-0.45,Column9,-1.09
Colombie-Britannique/British Columbia,-1.16,Column9,-3.33
Manitoba/Manitoba,-0.51,Column9,-1.27
Nouveau-Brunswick/New Brunswick,-0.19,Column9,-0.43
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.56,Column9,-1.76
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column9,-2.08
Nouvelle-Écosse/Nova Scotia,-0.02,Column9,-0.03
Nunavut/Nunavut,-1.95,Column9,-5.60
Ontario/Ontario,-0.44,Column9,-1.13
Île-du-Prince-Édouard/Prince Edward Island,-0.03,Column9,-0.05
Québec/Quebec,-0.74,Column9,-2.00
Saskatchewan/Saskatchewan,-0.43,Column9,-0.97
Yukon/Yukon Territory,-1.54,Column9,-4.37
25e centile/25th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-2.12,Column9,-6.08
Alberta/Alberta,-0.83,Column9,-1.56
Colombie-Britannique/British Columbia,-2.17,Column9,-4.97
Manitoba/Manitoba,-0.93,Column9,-1.99
Nouveau-Brunswick/New Brunswick,-0.38,Column9,-0.59
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-1.06,Column9,-2.53
Territoires du Nord-Ouest/Northwest Territories,-1.44,Column9,-3.62
Nouvelle-Écosse/Nova Scotia,-0.05,Column9,-0.06
Nunavut/Nunavut,-5.19,Column9,-15.08
Ontario/Ontario,-0.81,Column9,-1.72
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column9,-0.13
Québec/Quebec,-1.22,Column9,-2.71
Saskatchewan/Saskatchewan,-0.78,Column9,-1.40
Yukon/Yukon Territory,-3.05,Column9,-7.51
75e centile/75th percentile,RCP2.6,Column9,
,2016-2035,Column9,2046-2065
Canada/Canada,-0.08,Column9,-0.73
Alberta/Alberta,-0.21,Column9,-0.66
Colombie-Britannique/British Columbia,-0.43,Column9,-1.83
Manitoba/Manitoba,-0.14,Column9,-0.91
Nouveau-Brunswick/New Brunswick,-0.11,Column9,-0.24
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.16,Column9,-1.16
Territoires du Nord-Ouest/Northwest Territories,-0.04,Column9,-1.28
Nouvelle-Écosse/Nova Scotia,0.00,Column9,-0.02
Nunavut/Nunavut,-0.02,Column9,-1.56
Ontario/Ontario,-0.20,Column9,-0.77
Île-du-Prince-Édouard/Prince Edward Island,-0.01,Column9,-0.04
Québec/Quebec,-0.31,Column9,-1.31
Saskatchewan/Saskatchewan,-0.12,Column9,-0.68
Yukon/Yukon Territory,-0.70,Column9,-2.64
50e centile/50th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-1.00,Column10,-5.52
Alberta/Alberta,-1.31,Column10,-5.33
Colombie-Britannique/British Columbia,-4.14,Column10,-17.64
Manitoba/Manitoba,-0.93,Column10,-4.60
Nouveau-Brunswick/New Brunswick,-0.80,Column10,-5.49
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.21,Column10,-9.38
Territoires du Nord-Ouest/Northwest Territories,-0.69,Column10,-3.99
Nouvelle-Écosse/Nova Scotia,-0.19,Column10,-0.78
Nunavut/Nunavut,-1.46,Column10,-8.76
Ontario/Ontario,-1.25,Column10,-5.89
Île-du-Prince-Édouard/Prince Edward Island,-0.41,Column10,-1.90
Québec/Quebec,-1.60,Column10,-7.99
Saskatchewan/Saskatchewan,-0.92,Column10,-4.26
Yukon/Yukon Territory,-2.44,Column10,-13.63
25e centile/25th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-1.99,Column10,-9.05
Alberta/Alberta,-1.31,Column10,-3.92
Colombie-Britannique/British Columbia,-4.65,Column10,-15.94
Manitoba/Manitoba,-1.22,Column10,-3.69
Nouveau-Brunswick/New Brunswick,-1.12,Column10,-3.70
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.44,Column10,-8.04
Territoires du Nord-Ouest/Northwest Territories,-1.44,Column10,-5.23
Nouvelle-Écosse/Nova Scotia,-0.16,Column10,-0.48
Nunavut/Nunavut,-4.45,Column10,-21.38
Ontario/Ontario,-1.24,Column10,-4.01
Île-du-Prince-Édouard/Prince Edward Island,-0.39,Column10,-1.10
Québec/Quebec,-1.95,Column10,-6.43
Saskatchewan/Saskatchewan,-1.01,Column10,-2.99
Yukon/Yukon Territory,-3.77,Column10,-14.84
75e centile/75th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-0.02,Column10,-1.28
Alberta/Alberta,-0.36,Column10,-1.78
Colombie-Britannique/British Columbia,-1.27,Column10,-5.89
Manitoba/Manitoba,-0.18,Column10,-1.82
Nouveau-Brunswick/New Brunswick,-0.10,Column10,-0.84
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.55,Column10,-3.51
Territoires du Nord-Ouest/Northwest Territories,0.05,Column10,-1.63
Nouvelle-Écosse/Nova Scotia,0.00,Column10,-0.04
Nunavut/Nunavut,0.42,Column10,-1.31
Ontario/Ontario,-0.26,Column10,-1.95
Île-du-Prince-Édouard/Prince Edward Island,-0.03,Column10,-0.14
Québec/Quebec,-0.28,Column10,-2.86
Saskatchewan/Saskatchewan,-0.24,Column10,-1.51
Yukon/Yukon Territory,-0.60,Column10,-4.38
50e centile/50th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-1.20,Column10,-6.50
Alberta/Alberta,-2.10,Column10,-10.70
Colombie-Britannique/British Columbia,-6.20,Column10,-30.20
Manitoba/Manitoba,-1.10,Column10,-8.10
Nouveau-Brunswick/New Brunswick,-1.70,Column10,-12.20
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-3.60,Column10,-15.80
Territoires du Nord-Ouest/Northwest Territories,-0.40,Column10,-3.90
Nouvelle-Écosse/Nova Scotia,-0.60,Column10,-2.40
Nunavut/Nunavut,-0.90,Column10,-6.00
Ontario/Ontario,-2.10,Column10,-11.60
Île-du-Prince-Édouard/Prince Edward Island,-1.20,Column10,-5.40
Québec/Quebec,-2.30,Column10,-13.00
Saskatchewan/Saskatchewan,-1.40,Column10,-8.60
Yukon/Yukon Territory,-2.80,Column10,-17.40
25e centile/25th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-3.00,Column10,-13.80
Alberta/Alberta,-4.70,Column10,-14.60
Colombie-Britannique/British Columbia,-10.10,Column10,-43.10
Manitoba/Manitoba,-2.90,Column10,-11.70
Nouveau-Brunswick/New Brunswick,-2.90,Column10,-15.30
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-6.00,Column10,-19.60
Territoires du Nord-Ouest/Northwest Territories,-1.70,Column10,-8.20
Nouvelle-Écosse/Nova Scotia,-1.10,Column10,-3.60
Nunavut/Nunavut,-4.50,Column10,-23.20
Ontario/Ontario,-3.50,Column10,-15.50
Île-du-Prince-Édouard/Prince Edward Island,-2.40,Column10,-9.30
Québec/Quebec,-4.10,Column10,-17.10
Saskatchewan/Saskatchewan,-3.40,Column10,-12.20
Yukon/Yukon Territory,-5.70,Column10,-26.40
75e centile/75th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,0.20,Column10,-2.50
Alberta/Alberta,-0.50,Column10,-7.80
Colombie-Britannique/British Columbia,-3.20,Column10,-19.30
Manitoba/Manitoba,0.10,Column10,-5.80
Nouveau-Brunswick/New Brunswick,0.20,Column10,-8.30
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-1.20,Column10,-11.60
Territoires du Nord-Ouest/Northwest Territories,1.10,Column10,-1.00
Nouvelle-Écosse/Nova Scotia,0.00,Column10,-1.30
Nunavut/Nunavut,1.80,Column10,0.80
Ontario/Ontario,-0.40,Column10,-8.20
Île-du-Prince-Édouard/Prince Edward Island,-0.50,Column10,-3.00
Québec/Quebec,-0.50,Column10,-8.80
Saskatchewan/Saskatchewan,-0.10,Column10,-6.10
Yukon/Yukon Territory,0.30,Column10,-7.90
50e centile/50th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-1.38,Column10,-6.21
Alberta/Alberta,-2.69,Column10,-9.17
Colombie-Britannique/British Columbia,-8.87,Column10,-34.29
Manitoba/Manitoba,-2.11,Column10,-8.22
Nouveau-Brunswick/New Brunswick,-1.34,Column10,-9.22
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-4.64,Column10,-19.01
Territoires du Nord-Ouest/Northwest Territories,-1.62,Column10,-7.12
Nouvelle-Écosse/Nova Scotia,-0.10,Column10,-0.62
Nunavut/Nunavut,-0.98,Column10,-5.15
Ontario/Ontario,-2.43,Column10,-10.34
Île-du-Prince-Édouard/Prince Edward Island,-0.38,Column10,-2.15
Québec/Quebec,-3.24,Column10,-15.51
Saskatchewan/Saskatchewan,-1.85,Column10,-6.83
Yukon/Yukon Territory,-4.95,Column10,-27.48
25e centile/25th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-3.41,Column10,-13.58
Alberta/Alberta,-4.51,Column10,-13.16
Colombie-Britannique/British Columbia,-15.16,Column10,-52.65
Manitoba/Manitoba,-3.92,Column10,-11.64
Nouveau-Brunswick/New Brunswick,-4.10,Column10,-13.88
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-8.32,Column10,-27.44
Territoires du Nord-Ouest/Northwest Territories,-3.34,Column10,-12.02
Nouvelle-Écosse/Nova Scotia,-0.59,Column10,-1.81
Nunavut/Nunavut,-4.81,Column10,-21.44
Ontario/Ontario,-4.12,Column10,-13.53
Île-du-Prince-Édouard/Prince Edward Island,-1.44,Column10,-4.18
Québec/Quebec,-6.23,Column10,-20.73
Saskatchewan/Saskatchewan,-3.32,Column10,-9.74
Yukon/Yukon Territory,-9.83,Column10,-39.78
75e centile/75th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,0.04,Column10,-2.14
Alberta/Alberta,-1.21,Column10,-6.08
Colombie-Britannique/British Columbia,-4.63,Column10,-20.45
Manitoba/Manitoba,-0.58,Column10,-5.83
Nouveau-Brunswick/New Brunswick,-0.31,Column10,-2.98
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-2.04,Column10,-11.99
Territoires du Nord-Ouest/Northwest Territories,0.21,Column10,-3.43
Nouvelle-Écosse/Nova Scotia,0.00,Column10,-0.13
Nunavut/Nunavut,1.73,Column10,1.51
Ontario/Ontario,-0.83,Column10,-6.65
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column10,-0.49
Québec/Quebec,-0.81,Column10,-9.15
Saskatchewan/Saskatchewan,-0.83,Column10,-4.94
Yukon/Yukon Territory,-1.62,Column10,-12.98
50e centile/50th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-0.68,Column10,-4.35
Alberta/Alberta,0.00,Column10,0.00
Colombie-Britannique/British Columbia,-0.33,Column10,-1.01
Manitoba/Manitoba,-0.01,Column10,-0.01
Nouveau-Brunswick/New Brunswick,0.00,Column10,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.06,Column10,-0.14
Territoires du Nord-Ouest/Northwest Territories,-0.13,Column10,-0.89
Nouvelle-Écosse/Nova Scotia,0.00,Column10,0.00
Nunavut/Nunavut,-1.97,Column10,-11.67
Ontario/Ontario,0.00,Column10,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column10,0.00
Québec/Quebec,-0.06,Column10,-0.22
Saskatchewan/Saskatchewan,0.00,Column10,0.00
Yukon/Yukon Territory,-0.52,Column10,-2.78
25e centile/25th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-2.00,Column10,-10.88
Alberta/Alberta,-0.02,Column10,-0.03
Colombie-Britannique/British Columbia,-1.16,Column10,-3.00
Manitoba/Manitoba,-0.03,Column10,-0.04
Nouveau-Brunswick/New Brunswick,0.00,Column10,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.27,Column10,-0.86
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column10,-2.46
Nouvelle-Écosse/Nova Scotia,0.00,Column10,0.00
Nunavut/Nunavut,-5.64,Column10,-32.04
Ontario/Ontario,-0.01,Column10,-0.01
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column10,0.00
Québec/Quebec,-0.24,Column10,-0.77
Saskatchewan/Saskatchewan,0.00,Column10,0.00
Yukon/Yukon Territory,-2.14,Column10,-6.57
75e centile/75th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-0.05,Column10,-1.14
Alberta/Alberta,0.00,Column10,0.00
Colombie-Britannique/British Columbia,-0.01,Column10,-0.03
Manitoba/Manitoba,0.00,Column10,0.00
Nouveau-Brunswick/New Brunswick,0.00,Column10,0.00
Terre-Neuve-et-Labrador/Newfoundland & Labrador,0.00,Column10,-0.03
Territoires du Nord-Ouest/Northwest Territories,0.00,Column10,-0.26
Nouvelle-Écosse/Nova Scotia,0.00,Column10,0.00
Nunavut/Nunavut,-0.05,Column10,-2.47
Ontario/Ontario,0.00,Column10,0.00
Île-du-Prince-Édouard/Prince Edward Island,0.00,Column10,0.00
Québec/Quebec,0.00,Column10,-0.05
Saskatchewan/Saskatchewan,0.00,Column10,0.00
Yukon/Yukon Territory,-0.09,Column10,-0.24
50e centile/50th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-0.81,Column10,-5.06
Alberta/Alberta,-0.45,Column10,-1.47
Colombie-Britannique/British Columbia,-1.16,Column10,-5.07
Manitoba/Manitoba,-0.51,Column10,-2.04
Nouveau-Brunswick/New Brunswick,-0.19,Column10,-0.51
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.56,Column10,-2.62
Territoires du Nord-Ouest/Northwest Territories,-0.62,Column10,-4.06
Nouvelle-Écosse/Nova Scotia,-0.02,Column10,-0.04
Nunavut/Nunavut,-1.95,Column10,-12.18
Ontario/Ontario,-0.44,Column10,-1.65
Île-du-Prince-Édouard/Prince Edward Island,-0.03,Column10,-0.08
Québec/Quebec,-0.74,Column10,-3.19
Saskatchewan/Saskatchewan,-0.43,Column10,-1.58
Yukon/Yukon Territory,-1.54,Column10,-6.87
25e centile/25th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-2.12,Column10,-11.62
Alberta/Alberta,-0.83,Column10,-2.33
Colombie-Britannique/British Columbia,-2.17,Column10,-7.66
Manitoba/Manitoba,-0.93,Column10,-2.95
Nouveau-Brunswick/New Brunswick,-0.38,Column10,-0.77
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-1.06,Column10,-3.69
Territoires du Nord-Ouest/Northwest Territories,-1.44,Column10,-6.35
Nouvelle-Écosse/Nova Scotia,-0.05,Column10,-0.08
Nunavut/Nunavut,-5.19,Column10,-31.79
Ontario/Ontario,-0.81,Column10,-2.36
Île-du-Prince-Édouard/Prince Edward Island,-0.10,Column10,-0.13
Québec/Quebec,-1.22,Column10,-4.04
Saskatchewan/Saskatchewan,-0.78,Column10,-2.10
Yukon/Yukon Territory,-3.05,Column10,-12.75
75e centile/75th percentile,RCP2.6,Column10,
,2016-2035,Column10,2081-2100
Canada/Canada,-0.08,Column10,-1.82
Alberta/Alberta,-0.21,Column10,-0.98
Colombie-Britannique/British Columbia,-0.43,Column10,-2.89
Manitoba/Manitoba,-0.14,Column10,-1.38
Nouveau-Brunswick/New Brunswick,-0.11,Column10,-0.30
Terre-Neuve-et-Labrador/Newfoundland & Labrador,-0.16,Column10,-1.89
Territoires du Nord-Ouest/Northwest Territories,-0.04,Column10,-2.82
Nouvelle-Écosse/Nova Scotia,0.00,Column10,-0.02
Nunavut/Nunavut,-0.02,Column10,-4.28
Ontario/Ontario,-0.20,Column10,-1.08
Île-du-Prince-Édouard/Prince Edward Island,-0.01,Column10,-0.05
Québec/Quebec,-0.31,Column10,-2.15
Saskatchewan/Saskatchewan,-0.12,Column10,-1.06
Yukon/Yukon Territory,-0.70,Column10,-4.23
